Episode,Title,Manga Chapter
1,I'm Luffy! The Man Who Will Become the Pirate King!,2
2,Enter The Great Swordsman! Pirate Hunter Roronoa Zoro!,3 | 4 | 5
3,Morgan vs. Luffy! Who's This Mysterious Beautiful Young Girl?,5 | 6 | 7
4,Luffy's Past! The Red-Haired Shanks Appears!,1 | 8
5,"Fear, Mysterious Power! Pirate Clown Captain Buggy!",8 | 9 | 10 | 11
6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,11 | 12 | 13 | 14 | 15
7,Grand Duel! Zoro the Swordsman vs. Cabaji the Acrobat!,15 | 16 | 17 | 18
8,Who Will Win? Showdown Between the True Powers of the Devil Fruit!,19 | 20 | 21
9,Honorable Liar? Captain Usopp,23 | 24
10,The World's Strongest Weirdo! Jango the Hypnotist!,24 | 25 | 26
11,"Revealing the Conspiracy! The Pirate Caretaker, Captain Kuro!",26 | 27
12,Battle! The Black Cat Pirate Crew. Battle on the Slope!,28 | 29 | 30
13,The Terrifying Duo! Nyaban Brothers vs. Zoro,30 | 31 | 32
14,Luffy's Revival! Kaya-ojousama's Life and Death Confrontation,33 | 34
15,Defeat Kuro! Usopp's Tear-filled Determination!,35 | 36 | 37
16,Protect Kaya! Usopp Pirate Gang Takes Action!,38 | 39
17,"Completely Infuriated! Kuro vs. Luffy, Final Battle!",39 | 40 | 41
18,You Are a Special Animal! Gaimon and His Bizarre Friends,22 | 42
19,The Past of the Three Swords! The Promise Between Zoro and Kuina!,5 | 42
20,The Famous Cook! Sanji of the Floating Restaurant,42 | 43
21,An Unexpected Guest! Sanji's Food and Gin's Grace,44 | 45
22,The Greatest Pirate Fleet: Captain Don Krieg,46 | 47
23,Protect Baratie! The Great Pirate: Zeff the Red Leg,48 | 49
24,Hawk Eyes Mihawk! Swordsman Zoro Falls into the Sea!,50 | 51 | 52
25,The Emerge of the Superb Kicking Skill: Sanji vs. the Iron Wall Pearl,53 | 54 | 55
26,Zeff and Sanji's Dream: The Sea of Dreams - All Blue,56 | 57 | 58 | 59
27,"The Coldhearted Devil-man: Gin, The Pirate Fleet Battle Commander",59 | 60 | 61 | 62
28,I Won't Die! Conclusion: Luffy vs. Krieg,62 | 63 | 64
29,Outcome of a Deadly Battle! The Spear Inside!,65 | 66
